title,summary,comment,authors,category,split
Non-Minimal Quintessence With Nearly Flat Potential,"We consider Brans-Dicke type nonminimally coupled scalar field as a candidate for dark energy. In the conformally transformed Einstein's frame, our model is similar to {\it coupled quintessence} model. In such models, we consider potentials for the scalar field which satisfy the slow-roll conditions: $[(1/V)(dV/d\phi)]^2 << 1$ and $(1/V)(d^2V/d\phi^2) << 1$. For such potentials, we show that the equation of state for the scalar field can be described by a universal behaviour, provided the scalar field rolls only in the flat part of the potentials where the slow-roll conditions are satisfied. Our work generalizes the previous work by Scherrer and Sen \cite{scherrer} for minimally coupled scalar field case. We have also studied the observational constraints on the model parameters considering the Supernova and BAO observational data.",,"Anjan A Sen, Gaveshna Gupta, Sudipta Das",physics,val
Robust determination of the major merger fraction at z = 0.6 in Groth Strip,"(Abridged) We measure the fraction of galaxies undergoing disk-disk major mergers (f_m) at intermediate redshifts (0.35 <= z < 0.85) by studying the asymmetry index A of galaxy images. Results are provided for B- and Ks-band absolute magnitude selected samples from the Groth strip in the GOYA photometric survey. Three sources of systematic error are carefully addressed: (i) we avoid morphological K-corrections, (ii) we measure asymmetries in artificially redshifted to z_d = 0.75 galaxies to lead with loss of morphological information with redshift, and (iii) we take into account the observational errors in z and A, that tend to overestimate the merger fraction, by maximum likelihood techniques. We find: (i) our data allow for a robust merger fraction to be provided for a single redshift bin centered at z=0.6. (ii) Merger fractions have low values: f_m = 0.045 for M_B <= -20 galaxies, and f_m = 0.031 for M_Ks <= -23.5 galaxies. And, (iii) failure to address the effects of the observational errors leads to overestimating f_m by factors of 10%-60%. Combining our results with those on literature, and parameterizing the merger fraction evolution as f_m(z) = f_m(0)(1+z)^m, we obtain that m = 2.9 +- 0.8, and f_m(0) = 0.012 +- 0.004$. Assuming a Ks-band mass-to-light ratio not varying with luminosity, we infer that the merger rate of galaxies with stellar mass M >= 3.5x10^10 M_Sun is R_m = 1.6x10^-4 Mpc^-3 Gyr^-1. When we compare with previous studies at similar redshifts, we find that the merger rate decreases when mass increases.","Accepted for publication in ApJ. 11 pages, 7 figures, 3 tables.
  Formatted with emulateapj","C. López-Sanjuan, M. Balcells, C. E. García-Dabó, M. Prieto, D. Cristóbal-Hornillos, M. C. Eliche-Moral, D. Abreu, P. Erwin, R. Guzmán",physics,test
"Neutrino Masses, Dark Energy and the Gravitational Lensing of Pregalactic HI",We study the constraints which the next generation of radio telescopes could place on the mass and number of neutrino species by studying the gravitational lensing of high redshift 21 cm emission in combination with wide-angle surveys of galaxy lensing. We use simple characterizations of reionization history and of proposed telescope designs to forecast the constraints and detectability threshold for neutrinos. It is found that the degeneracy between neutrino parameters and dark energy parameters is significantly reduced by incorporating 21 cm lensing. The combination of galaxy and 21 cm lensing could constrain the sum of the neutrino masses to within ~ 0.04 eV and the number of species to within ~ 0.1. This is an improvement of a factor of 2.6 in mass and 1.3 in number over a galaxy lensing survey alone. This includes marginalizing over an 11 parameter cosmological model with a two parameter model for the dark energy equation of state. If the dark energy equation of state is held fixed at w = p/\rho=-1 the constraints improve to ~0.03 eV and 0.04. These forecasted errors depend critically on the fraction of sky that can be surveyed in redshifted 21 cm emission (25% is assumed here) and the redshift of reionization ($z=7$ is assumed here). It is also found that neutrinos with masses too small to be detected in the data could none the less cause a significant bias in the measured dark energy equation of state.,"7 pages, 6 figures, submitted to MNRAS",R. Benton Metcalf,physics,val
Impact of Instrumental Systematic Contamination on the Lensing Mass Reconstruction using the CMB Polarization,"In this paper, we study the effects of instrumental systematics on the reconstruction of the deflection angle power spectrum from weak lensing of Cosmic Microwave Background (CMB) temperature and polarization observations. We consider seven types of effects which are related to known instrumental systematics: calibration, rotation, pointing, spin-flip, monopole leakage, dipole leakage and quadrupole leakage. These effects can be characterized by 11 distortion fields. Each of these systematic effects can mimic the effective projected matter power spectrum and hence contaminate the lensing reconstruction. To demonstrate the effect of these instrumental systematics, we consider two types of experiments, one with a detector noise level for polarization of 9.6 uK-arcmin and FWHM of 8.0', typical of upcoming ground and balloon-based CMB experiments, and a CMBPol-like instrument with a detector noise level for polarization of 2.0 uK-arcmin and FWHM of 4.0', typical of future space-based CMB experiments. For each systematics, we consider various choices of coherence scale. Among all the 11 systematic parameters, rotation and monopole leakage place the most stringent requirements, while quadrupole leakage, pointing error, and calibration are among the least demanding. The requirements from lensing extraction are about 1-2 orders of magnitude less stringent than the requirements to measure the primordial B-modes with inflationary energy scale of 1.0*10^{16} GeV. On the other hand the requirements for lensing reconstruction are comparable or even more stringent for some systematic parameters than the requirements to detect primordial B-modes with inflationary scale E_i = 3.0*10^{16} GeV.","22 pages, 7 figures","Meng Su, Amit P. S. Yadav, Matias Zaldarriaga",physics,val
Tracing the Reionization-Epoch Intergalactic Medium with Metal Absorption Lines,"IGM metal absorption lines observed in z>6 spectra offer the opportunity to probe early feedback processes, the nature of enriching sources, and the topology of reionization. We run high-resolution cosmological simulations including galactic outflows to study the observability and physical properties of 5 ions (C II, C IV, O I, Si II, Si IV) in absorption between z=8->5. We apply three cases for ionization conditions: Fully neutral, fully reionized, and a patchy model based on the flux from the nearest galaxy. We find that our simulations broadly fit available z~5-6 IGM metal-line data, although all observations cannot be accommodated with a single ionization condition. Variations in O I absorbers among sight lines seen by Becker et al. (2006) suggest significant neutral IGM patches down to z~6. Strong C IV absorbers at z~6 may be the result of ionization by their parent galaxy. Our outflows have typical speeds of ~200 km/s and mass loading factors of ~6. Such high mass loading is critical for enriching the IGM to the observed levels while curtailing star formation to match the observed z~6 rest-frame UV luminosity function. The volume filling factor of metals increases during this epoch, but only reaches ~1% for Z>10^(-3) Zsolar by z=5. C IV is an ideal tracer of IGM metals at z~5-6, with dropping global ionization fractions to either higher or lower redshifts. This results in a strongly increasing global Omega(C IV) from z=8->5, in contrast to its relative constancy from z=5->2. Our simulations do not support widespread early IGM enrichment from e.g. Pop III stars. High-z absorbers arise from metals on their first outward journey from galaxies, at distances less than 50 kpc. The galaxies responsible for early IGM enrichment have typical M*=10^(7.0-8.5) Msolar.","Accepted to MNRAS, 34 pages, 24 figures, 1 table (Sections 5.5,
  6.3.1, & 6.3.2 added as well as 5 figures and 1 table)","Benjamin D. Oppenheimer, Romeel Davé, Kristian Finlator",physics,train
Lensing effects in inhomogeneous cosmological models,"Concepts developed in the gravitational lensing techniques such as shear, convergence, tangential and radial arcs maybe used to see how tenable inhomogeneous models proposed to explain the acceleration of the universe models are. We study the widely discussed LTB cosmological models. It turns out that for the observer sitting at origin of a global LTB solution the shear vanishes as in the FRW models, while the value of convergence is different which may lead to observable cosmological effects. We also consider Swiss-cheese models proposed recently based on LTB with an observer sitting in the FRW part. It turns out that they have different behavior as far as the formation of radial and tangential arcs are concerned.","8 pages, 8 figures","Sima Ghassemi, Salomeh Khoeini Moghaddam, Reza Mansouri",physics,val
Classical Cosmological Tests for Galaxies of the Hubble Ultra Deep Field,"Images of the Hubble Ultra Deep Field are analyzed to obtain a catalog of galaxies for which the angular sizes, surface brightness, photometric redshifts, and absolute magnitudes are found. The catalog contains a total of about 4000 galaxies identified at a high signal-to-noise ratio, which allows the cosmological relations angular size{redshift and surface brightness-redshift to be analyzed. The parameters of the evolution of linear sizes and surface brightness of distant galaxies in the redshift interval 0.5-6.5 are estimated in terms of a grid of cosmological models with different density parameters. The distribution of photometric redshifts of galaxies is analyzed and possible superlarge inhomogeneities in the radial distribution of galaxies are found with scale lengths as large as 2000 Mpc.","23 pages, 9 figures, 1 table","Nikita V. Nabokov, Yuriy V. Baryshev",physics,train
Gravitational waves in the Hyperspace?,"In the framework of the debate on high-frequency gravitational waves (GWs), after a review of GWs in standard General Relativity, which is due for completness, the possibility of merging such a traditional analysis with the Hyperspace formalism that has been recently introduced in some papers in the literature, with the goal of a better understanding of manifolds dimensionality also in a cosmological framework, is discussed. Using the concept of refractive index in the Hyperspace, spherical solutions are given and the propagation of GWs in a region of the Hyperspace with an unitary refractive index is also discussed. Propagation phenomena associated to the higher dimensionality are proposed, possibly including non-linear effects. Further and accurate studies in this direction are needed.","Accepted for publication by Modern Physics Letters A. In the new
  version the references have been updated","Christian Corda, Giorgio Fontana, Gloria Garcia Cuadrado",physics,train
HD and H2 formation in low-metallicity dusty gas clouds at high redshift,"Context: The HD and H2 molecules play important roles in the cooling of primordial and very metal-poor gas at high redshift. Aims: Grain surface and gas phase formation of HD and H2 is investigated to assess the importance of trace amounts of dust, 10^{-5}-10^{-3} Zo, in the production of HD and H2. Methods: We consider carbonaceous and silicate grains and include both physisorption and chemisorption, tunneling, and realistic grain surface barriers. We find, for a collapsing gas cloud environment with coupled chemical and thermal balance, that dust abundances as small as 10^{-5} solar lead to a strong boost in the H2 formation rate due to surface reactions. As a result of this enhancement in H2, HD is formed more efficiently in the gas phase through the D+ + H2 reaction. Direct formation of HD on dust grains cannot compete well with this gas phase process for dust temperatures below 150 K. We also derive up-to-date analytic fitting formulae for the grain surface formation of H2 and HD, including the different binding energies of H and D. Results: Grain surface reactions are crucial to the availability of H2 and HD in very metal-poor environments. Above metallicities of 10^{-5} solar, the grain surface route dominates the formation of H2, which in turn, drives the formation of HD in the gas phase. At dust temperatures above 150 K, laboratory experiments and theoretical modelling suggest that H2 formation on grains is suppressed while HD formation on grains is not.","typos corrected, accepted for publication in Astronomy and
  Astrophysics","S. Cazaux, M. Spaans",physics,train
Black hole spin and radio loudness in a LCDM universe,"We use a combination of a cosmological N-body simulation of the concordance Lambda cold dark matter (LCDM) paradigm and a semi-analytic model of galaxy formation to investigate the spin development of central supermassive black holes (BHs) and its relation to the BH host galaxy properties. In order to compute BH spins, we use the alpha-model of Shakura & Sunyaev and consider the King et al. warped disc alignment criterion. The orientation of the accretion disc is inferred from the angular momentum of the source of accreted material, which bears a close relationship to the large-scale structure in the simulation. We find that the final BH spin depends almost exclusively on the accretion history and only weakly on the warped disc alignment. The main mechanisms of BH spin-up are found to be gas cooling processes and disc instabilities, a result that is only partially compatible with Monte-Carlo models where the main spin-up mechanisms are major mergers and disc instabilities; the latter results are reproduced when implementing randomly oriented accretion discs in our model. Regarding the BH population, we find that more massive BHs, which are hosted by massive ellipticals, have higher spin values than less-massive BHs, hosted by spiral galaxies. We analyse whether gas accretion rates and BH spins can be used as tracers of the radio loudness of active galactic nuclei (AGN). We find that the current observational indications of an increasing trend of radio-loud AGN fractions with stellar and BH mass can be easily obtained when placing lower limits on the BH spin, with a minimum influence from limits on the accretion rates; a model with random accretion disc orientations is unable to reproduce this trend. (ABRIDGED)","13 pages, 8 figures. Accepted for publication in MNRAS","Claudia del P. Lagos, Nelson D. Padilla, Sofia A. Cora",physics,train
HAT-P-11b: A Super-Neptune Planet Transiting a Bright K Star in the Kepler Field,"We report on the discovery of HAT-P-11b, the smallest radius transiting extrasolar planet (TEP) discovered from the ground, and the first hot Neptune discovered to date by transit searches. HAT-P-11b orbits the bright (V=9.587) and metal rich ([Fe=H] = +0.31 +/- 0.05) K4 dwarf star GSC 03561-02092 with P = 4.8878162 +/- 0.0000071 days and produces a transit signal with depth of 4.2 mmag. We present a global analysis of the available photometric and radial-velocity data that result in stellar and planetary parameters, with simultaneous treatment of systematic variations. The planet, like its near-twin GJ 436b, is somewhat larger than Neptune (17Mearth, 3.8Rearth) both in mass Mp = 0.081 +/- 0.009 MJ (25.8 +/- 2.9 Mearth) and radius Rp = 0.422 +/- 0.014 RJ (4.73 +/- 0.16 Rearth). HAT-P-11b orbits in an eccentric orbit with e = 0.198 +/- 0.046 and omega = 355.2 +/- 17.3, causing a reflex motion of its parent star with amplitude 11.6 +/- 1.2 m/s, a challenging detection due to the high level of chromospheric activity of the parent star. Our ephemeris for the transit events is Tc = 2454605.89132 +/- 0.00032 (BJD), with duration 0.0957 +/- 0.0012 d, and secondary eclipse epoch of 2454608.96 +/- 0.15 d (BJD). The basic stellar parameters of the host star are M* = 0.809+0.020-0.027 Msun, R* = 0.752 +/- 0.021 Rsun and Teff = 4780 +/- 50 K. Importantly, HAT-P-11 will lie on one of the detectors of the forthcoming Kepler mission. We discuss an interesting constraint on the eccentricity of the system by the transit light curve and stellar parameters. We also present a blend analysis, that for the first time treats the case of a blended transiting hot Jupiter mimicing a transiting hot Neptune, and proves that HAT-P-11b is not such a blend.","Accepted for publication in ApJ, 24 pages, 14 figures, 6 tables. All
  RV data presented in this version","G. Á. Bakos, G. Torres, A. Pál, J. Hartman, Géza Kovács, R. W. Noyes, D. W. Latham, D. D. Sasselov, B. Sipőcz, G. A. Esquerdo, D. A. Fischer, J. A. Johnson, G. W. Marcy, R. P. Butler, H. Isaacson, A. Howard, S. Vogt, Gábor Kovács, J. Fernandez, A. Moór, R. P. Stefanik, J. Lázár, I. Papp, P. Sári",physics,train
Physical collisions of moonlets and clumps with the Saturn's F-ring core,"Since 2004, observations of Saturn's F ring have revealed that the ring's core is surrounded by structures with radial scales of hundreds of kilometers, called ""spirals"" and ""jets"". Gravitational scattering by nearby moons was suggested as a potential production mechanism; however, it remained doubtful because a population of Prometheus-mass moons is needed and, obviously, such a population does not exist in the F ring region. We investigate here another mechanism: dissipative physical collisions of kilometer-size moonlets (or clumps) with the F-ring core. We show that it is a viable and efficient mechanism for producing spirals and jets, provided that massive moonlets are embedded in the F-ring core and that they are impacted by loose clumps orbiting in the F ring region, which could be consistent with recent data from ISS, VIMS and UVIS. We show also that coefficients of restitution as low as ~0.1 are needed to reproduce the radial extent of spirals and jets, suggesting that collisions are very dissipative in the F ring region. In conclusion, spirals and jets would be the direct manifestation the ongoing collisional activity of the F ring region.","Accepted for publication in ICARUS 17 pages, 6 figures, 1 table",Sebastien Charnoz,physics,test
Discovering the Growth Histories of Exoplanets: The Saturn Analog HD 149026b,"The transiting ""hot Saturn"" HD 149026b, which has the highest mean density of any confirmed planet in the Neptune-Jupiter mass range, has challenged theories of planet formation since its discovery in 2005. Previous investigations could not explain the origin of the planet's 45-110 Earth-mass solid core without invoking catastrophes such as gas giant collisions or heavy planetesimal bombardment launched by neighboring planets. Here we show that HD 149026b's large core can be successfully explained by the standard core accretion theory of planet formation. The keys to our reconstruction of HD 149026b are (1) applying a model of the solar nebula to describe the protoplanet nursery; (2) placing the planet initially on a long-period orbit at Saturn's heliocentric distance of 9.5 AU; and (3) adjusting the solid mass in the HD 149026 disk to twice that of the solar nebula in accordance with the star's heavy element enrichment. We show that the planet's migration into its current orbit at 0.042 AU is consistent with our formation model. Our study of HD 149026b demonstrates that it is possible to discover the growth history of any planet with a well-defined core mass that orbits a solar-type star.","20 pages, including 3 figures. Accepted for publication in ApJ
  letters. Discussion updated to include new NICMOS transit photometry (Carter
  et al. 2009)","Sarah E. Dodson-Robinson, Peter Bodenheimer",physics,train
Transit observations at the observatory in Grossschwabhausen: XO-1b and TrES-1,"We report on observations of transit events of the transiting planets XO-1b and TrES-1 with the AIU Jena telescope in Grossschwabhausen. Based on our IR photometry (in March 2007) and available transit timings (SuperWASP, XO and TLC-project-data) we improved the orbital period of XO-1b (P = 3.941497$\pm$0.000006) and TrES-1 (P = 3.0300737$\pm$0.000006), respectively. The new ephemeris for the both systems are presented.","4 pages, 2 figures","M. Vanko, St. Raetz, M. Mugrauer, T. O. B. Schmidt, T. Roell, T. Eisenbeiss, M. Hohle, A. Seifahrt, A. Koeltzsch, Ch. Broeg, J. Koppenhoefer, R. Neuhaeuser",physics,val
Thermal Tides in Short Period Exoplanets,"Time-dependent insolation in a planetary atmosphere induces a mass quadrupole upon which the stellar tidal acceleration can exert a force. This ""thermal tide"" force can give rise to secular torques on the planet and orbit as well as radial forces causing eccentricity evolution. We apply this idea to the close-in gas giant exoplanets (""hot Jupiters""). The response of radiative atmospheres is computed in a hydrostatic model which treats the insolation as a time-dependent heat source, and solves for thermal radiation using flux-limited diffusion. Fully nonlinear numerical simulations are compared to solutions of the linearized equations, as well as analytic approximations, all of which are in good agreement. We find generically that thermal tide density perturbations {\it lead} the semi-diurnal forcing. As a result thermal tides can generate asynchronous spin and eccentricity. Our results are as follows: (1) Departure from synchronous spin is significant for hot Jupiters, and increases with orbital period. (2) Ongoing gravitational tidal dissipation in spin equilibrium leads to steady-state internal heating rates up to $\sim 10^{28} {\rm erg\ s^{-1}}$. If deposited sufficiently deep, these heating rates may explain the anomalously large radii of many hot Jupiters in terms of a ""tidal main sequence"" where cooling balances tidal heating. At fixed stellar type, planet mass and tidal $Q$, planetary radius increases strongly toward the star inside orbital periods $\la 2$ weeks. (3) There exists a narrow window in orbital period where small eccentricities, $e$, grow exponentially with a large rate. This window may explain the $\sim 1/4$ of hot Jupiters which should have been circularized by the gravitational tide long ago, but are observed to have significant nonzero $e$.(Abridged)",Submitted to ApJ,"Phil Arras, Aristotle Socrates",physics,val
A Metric and Optimisation Scheme for Microlens Planet Searches,"OGLE III and MOA II are discovering 600-1000 Galactic Bulge microlens events each year. This stretches the resources available for intensive follow-up monitoring of the lightcurves in search of anomalies caused by planets near the lens stars. We advocate optimizing microlens planet searches by using an automatic prioritization algorithm based on the planet detection zone area probed by each new data point. This optimization scheme takes account of the telescope and detector characteristics, observing overheads, sky conditions, and the time available for observing on each night. The predicted brightness and magnification of each microlens target is estimated by fitting to available data points. The optimisation scheme then yields a decision on which targets to observe and which to skip, and a recommended exposure time for each target, designed to maximize the planet detection capability of the observations. The optimal strategy maximizes detection of planet anomalies, and must be coupled with rapid data reduction to trigger continuous follow-up of anomalies that are thereby found. A web interface makes the scheme available for use by human or robotic observers at any telescope. We also outline a possible self-organising scheme that may be suitable for coordination of microlens observations by a heterogeneous telescope network.","17 pages, 15 figures, MNRAS in press (6 Jan 2009)","Keith Horne, Colin Snodgrass, Yianni Tsapras",physics,train
Abundances of the elements in the solar system,A review of the abundances and condensation temperatures of the elements and their nuclides in the solar nebula and in chondritic meteorites. Abundances of the elements in some neighboring stars are also discussed.,"42 pages, 11 tables, 8 figures, chapter, In Landolt- B\""ornstein, New
  Series, Vol. VI/4B, Chap. 4.4, J.E. Tr\""umper (ed.), Berlin, Heidelberg, New
  York: Springer-Verlag, p. 560-630","K. Lodders, H. Palme, H. -P. Gail",physics,train
The Earth as an extrasolar planet: The vegetation spectral signature today and during the last Quaternary climatic extrema,"The so-called Vegetation Red-Edge (VRE), a sharp increase in the reflectance around $700 nm$, is a characteristic of vegetation spectra, and can therefore be used as a biomarker if it can be detected in an unresolved extrasolar Earth-like planet integrated reflectance spectrum. Here we investigate the potential for detection of vegetation spectra during the last Quaternary climatic extrema, the Last Glacial Maximum (LGM) and the Holocene optimum, for which past climatic simulations have been made. By testing the VRE detectability during these extrema when Earth's climate and biomes maps were different from today, we are able to test the vegetation detectability on a terrestrial planet different from our modern Earth. Data from the Biome3.5 model have been associated to visible GOME spectra for each biome and cloud cover to derive Earth's integrated spectra for given Earth phases and observer positions. The VRE is then measured. Results show that the vegetation remains detectable during the last climatic extrema. Compared to current Earth, the Holocene optimum with a greener Sahara slightly increases the mean VRE on one hand, while on the other hand, the large ice cap over the northern Hemisphere during the LGM decreases vegetation detectability. We finally discuss the detectability of the VRE in the context of recently proposed space missions.","31-page manuscript, 12 figures, accepted for publication in Int. J.
  of Astrobiology","Luc Arnold, François-Marie Bréon, Simon Brewer",physics,val
On the various origins of close-in extrasolar planets,"The extrasolar planets (EPs) so far detected are very different to the planets in our own Solar System. Many of them have Jupiter-like masses and close-in orbits (the so-called hot planets, HPs), with orbital periods of only a few days. In this paper, we present a new statistical analysis of the observed EPs, focusing on the origin of the HPs. Among the several HP formation mechanisms proposed so far, the two main formation mechanisms are type II migration and scattering. In both cases, planets form beyond the so-called snow-line of the protoplanetary disk and then migrate inward due to angular momentum and energy exchange with either the protoplanetary disk or with companion planets. Although theoretical studies produce a range of observed features, no firm correspondence between the observed EPs and models has yet been established. In our analysis, by means of principal component analysis and hierarchical cluster analysis, we find convincing indications for the existence of two types of HPs, whose parameters reflect physical mechanisms of type II migration and scattering.","5 pages, 4 figures; Accepted on 2009 January 3 by MNRAS Letters","S. Marchi, S. Ortolani, M. Nagasawa, S. Ida",physics,train
